id,name,job
862,David Frankel,Director
863,Patricia Field,Costume Design
864,Theodore Shapiro,Original Music Composer
865,Aline Brosh McKenna,Screenplay
866,Fatih Akin,Producer
867,Andreas Thiel,Producer
868,Maceo Parker,Original Music Composer
869,Mehmet Kurtulus,Producer
870,Daniel Waters,Screenplay
871,Wesley Strick,Screenplay
872,Wes Craven,Director
873,Robert Shaye,Producer
874,Barry Sonnenfeld,Director of Photography
875,Dashiell Hammett,Novel
876,Mark Johnson,Producer
877,Barry Levinson,Director
878,Marshall Schlom,Script Supervisor
879,Gus Van Sant,Producer
880,Lothar G. Buchheim,Novel
881,Wolfgang Petersen,Director
882,Klaus Doldinger,Original Music Composer
883,Jost Vacano,Director of Photography
884,Spike Lee,Director
885,Terence Blanchard,Original Music Composer
886,Jonathan Filley,Unit Production Manager
887,Kim Coleman,Casting
888,Jeff Ward,Stunt Coordinator
889,Reginald Rose,Screenplay
890,Henry Fonda,Producer
891,Sidney Lumet,Director
892,João Canijo,Line Producer
893,Paulo Branco,Producer
894,Tonino Valerii,Assistant Director
895,Mario Caiano,Assistant Director
896,Lasse Hallström,Director
897,Mark Cooper,Producer
898,David Brown,Producer
899,Sonny Chiba,Fight Choreographer
900,Zoë Bell,Stunts
901,Jaroslav Peterka,Stunts
902,Andrew Jack,Dialect Coach
903,Bharat Nalluri,Second Unit Cinematographer
904,Irene Sharaff,Costume Design
905,Mike Nichols,Director
906,Herbert Ross,Choreographer
907,Owen Roizman,Director of Photography
908,Adam Brooks,Screenplay
909,Meg Ryan,Producer
910,Coreen Mayrs,Casting
911,Bennett Miller,Director
912,Dan Futterman,Screenplay
913,Gary Fleder,Director
