movie_id,actor_id
2,1
3,1
3,2
3,3
3,4
3,5
5,25
5,24
5,23
5,22
5,21
5,20
5,19
5,18
5,17
5,16
5,15
5,14
5,13
5,12
5,11
5,10
5,9
5,8
5,7
5,6
6,37
6,36
6,35
6,34
6,33
6,32
6,28
6,30
6,29
6,27
6,26
6,31
11,97
11,96
11,95
11,94
11,93
11,92
11,91
11,90
11,87
11,88
11,86
11,85
11,84
11,83
11,82
11,81
11,98
11,89
11,99
11,118
11,101
11,80
11,117
11,116
11,115
11,114
11,113
11,112
11,111
11,110
11,109
11,108
11,107
11,106
11,105
11,104
11,103
11,102
11,100
11,79
11,77
11,39
11,55
11,54
11,53
11,52
11,51
11,50
11,49
11,48
11,47
11,46
11,45
11,43
11,42
11,41
11,40
11,78
11,38
11,56
11,57
11,44
11,59
11,58
11,76
11,75
11,74
11,73
11,71
11,70
11,69
11,72
11,67
11,66
11,65
11,64
11,63
11,62
11,61
11,68
11,60
12,132
12,133
12,134
12,138
12,136
12,137
12,131
12,139
12,135
12,130
12,123
12,128
12,129
12,120
12,121
12,122
12,119
12,125
12,126
12,127
12,124
13,165
13,159
13,160
13,161
13,162
13,163
13,166
13,158
13,168
13,169
13,170
13,171
13,172
13,173
13,167
13,157
13,164
13,155
13,140
13,142
13,143
13,144
13,145
13,146
13,147
13,141
13,156
13,149
13,150
13,151
13,152
13,153
13,154
13,148
14,192
14,193
14,194
14,195
14,196
14,197
14,201
14,199
14,200
14,202
14,203
14,204
14,191
14,198
14,189
14,190
14,188
14,132
14,174
14,175
14,176
14,178
14,179
14,180
14,177
14,182
14,183
14,184
14,185
14,186
14,187
14,181
15,235
15,229
15,228
15,230
15,231
15,232
15,233
15,234
15,236
15,244
15,238
15,239
15,240
15,246
15,242
15,243
15,245
15,227
15,237
15,226
15,241
15,224
15,225
15,205
15,206
15,207
15,208
15,209
15,210
15,212
15,213
15,211
15,215
15,223
15,214
15,221
15,220
15,222
15,218
15,217
15,216
15,219
16,256
16,261
16,260
16,259
16,258
16,257
16,255
16,144
16,253
16,254
16,252
16,251
16,250
16,249
16,248
16,247
17,266
17,265
17,264
17,263
17,262
18,289
18,290
18,288
18,291
18,292
18,293
18,294
18,295
18,301
18,296
18,297
18,298
18,299
18,300
18,302
18,303
18,287
18,304
18,15
18,275
18,285
18,286
18,267
18,268
18,269
18,270
18,271
18,273
18,274
18,272
18,277
18,278
18,279
18,280
18,281
18,282
18,283
18,284
18,276
19,313
19,318
19,317
19,316
19,315
19,314
19,312
19,305
19,310
19,309
