movie_id,crew_id,role
85,283,Associate Producer
85,284,Sound Designer
85,285,Director of Photography
85,286,Stunts
85,287,Producer
85,288,Story
85,289,Production Intern
86,290,Director of Photography
86,291,Novel
86,292,Original Music Composer
87,17,Animation
87,18,Director
87,19,Original Music Composer
87,234,Editor
87,237,Director
87,238,Producer
87,258,Casting
87,283,Associate Producer
87,284,Sound Designer
87,285,Director of Photography
87,287,Producer
87,288,Story
87,293,Set Decoration
87,294,Costume Design
88,295,Stunt Coordinator
88,296,Director
88,297,Casting
88,298,Choreographer
89,18,Director
89,19,Original Music Composer
89,234,Editor
89,237,Director
89,283,Associate Producer
89,284,Sound Designer
89,285,Director of Photography
89,287,Producer
89,288,Story
89,293,Set Decoration
89,294,Costume Design
89,299,Stunts
89,300,Stunts
89,301,Special Effects
90,103,Producer
90,190,Casting
90,302,Screenplay
90,303,Original Music Composer
90,304,Director
90,305,Producer
90,306,Director of Photography
91,307,Author
92,308,Author
93,309,Title Graphics
93,310,Producer
93,311,Original Music Composer
95,103,Producer
95,105,Sound Designer
95,246,Editor
95,259,Costume Design
95,289,Production Intern
95,297,Casting
95,312,Screenplay
95,313,Producer
95,314,Screenplay
95,315,Screenplay
95,316,Production Manager
95,317,Hair Department Head
96,103,Producer
96,246,Editor
96,297,Casting
96,302,Screenplay
96,303,Original Music Composer
96,305,Producer
96,318,Director
96,319,Screenplay
96,320,Story
97,321,Costume Design
97,322,Producer
98,153,Original Music Composer
98,256,Director
98,277,Costume Design
98,323,Original Music Composer
98,324,Screenplay
98,325,Screenplay
98,326,Editor
98,327,Second Unit Cinematographer
99,94,Executive Producer
99,95,Executive Producer
99,195,Original Music Composer
99,197,Producer
99,328,Stunts
99,329,Thanks
100,330,Director
100,331,Producer
101,80,Second Unit
101,82,Original Music Composer
101,84,Story
102,332,Director
102,333,Screenplay
103,67,Original Music Composer
103,334,Thanks
103,335,Director of Photography
103,336,Producer
103,337,Director
103,338,Writer
104,339,Original Music Composer
104,340,Thanks
105,15,Original Music Composer
105,39,Director
105,237,Director
105,238,Producer
105,257,Production Design
105,287,Producer
105,341,Producer
105,342,Stunts
105,343,Director of Photography
105,344,Supervising Sound Editor
105,345,Stunt Coordinator
106,14,Executive Producer
106,15,Original Music Composer
106,346,Director
106,347,Producer
106,348,Producer
106,349,Director of Photography
106,350,Greensman
106,351,Stunt Coordinator
106,352,Orchestrator
106,353,Aerial Coordinator
107,330,Director
107,331,Producer
107,354,Music
107,355,Executive Producer
108,356,Original Music Composer
108,357,Director of Photography
108,358,Author
108,359,Screenplay
108,360,Producer
108,361,Author
109,356,Original Music Composer
109,359,Screenplay
109,360,Producer
109,361,Author
110,356,Original Music Composer
110,359,Screenplay
110,360,Producer
110,361,Author
111,142,Assistant Director
111,362,Stunts
111,363,Stunts
111,364,Director
111,365,Stunts
111,366,Stunts
111,367,Director of Photography
111,368,Original Music Composer
111,369,Screenplay
111,370,Costume Design
111,371,Stunts
112,372,Producer
112,373,Author
113,374,Author
114,206,Producer
114,375,Original Music Composer
114,376,Director
114,377,Editor
114,378,Author
115,42,Leadman
115,129,Director of Photography
115,216,Key Hair Stylist
115,379,Writer
115,380,Original Music Composer
115,381,Director
115,382,Executive Producer
115,383,Executive Producer
115,384,Assistant Editor
116,385,Director
116,386,Producer
116,387,Co-Executive Producer
116,388,Casting
117,14,Executive Producer
117,364,Director
117,389,Producer
117,390,Editor
117,391,Original Music Composer
117,392,Novel
117,393,Writer
118,241,Producer
118,246,Editor
118,247,Original Music Composer
118,394,Executive Producer
118,395,Costume Design
118,396,Screenplay
118,397,Author
118,398,Producer
118,399,Producer
118,400,Executive Producer
120,119,Executive Producer
120,120,Executive Producer
120,138,Production Manager
120,182,Original Music Composer
120,401,Screenplay
120,402,Novel
120,403,Casting
120,404,Director of Photography
120,405,Screenplay
120,406,Screenplay
120,407,Executive Producer
121,119,Executive Producer
121,120,Executive Producer
121,138,Production Manager
121,182,Original Music Composer
121,401,Screenplay
121,402,Novel
121,403,Casting
121,404,Director of Photography
121,405,Screenplay
121,406,Screenplay
121,407,Executive Producer
121,408,Set Decoration
122,119,Executive Producer
122,120,Executive Producer
122,138,Production Manager
122,182,Original Music Composer
122,401,Screenplay
122,402,Novel
122,403,Casting
122,404,Director of Photography
122,405,Screenplay
122,406,Screenplay
122,408,Set Decoration
123,402,Novel
123,407,Executive Producer
123,409,Screenplay
123,410,Director
124,356,Original Music Composer
124,359,Screenplay
124,361,Author
127,359,Screenplay
128,268,Director
128,270,Original Music Composer
128,411,Producer
128,412,Animation Supervisor
128,413,Executive Producer
128,414,Art Direction
128,415,Art Direction
129,268,Director
129,270,Original Music Composer
129,411,Producer
132,416,Director
132,417,Director
133,416,Director
133,418,Sound Recordist
134,129,Director of Photography
134,208,Executive Music Producer
134,379,Writer
134,381,Director
134,382,Executive Producer
134,383,Executive Producer
134,419,Dialogue Editor
135,418,Sound Recordist
135,420,Original Music Composer
136,421,Director
137,422,Producer
137,423,Executive Producer
137,424,Original Music Composer
137,425,Stunts
138,90,Director of Photography
138,421,Director
138,426,Producer
138,427,Original Music Composer
138,428,Novel
139,333,Screenplay
139,429,Director of Photography
139,430,Director
140,94,Executive Producer
140,95,Executive Producer
140,195,Original Music Composer
141,216,Key Hair Stylist
141,252,Executive Producer
141,431,Screenplay
141,432,Stunt Coordinator
141,433,Executive Producer
142,74,Casting
142,169,Original Music Composer
142,174,Director of Photography
142,434,Director
142,435,Producer
142,436,Screenplay
143,90,Director of Photography
143,426,Producer
143,437,Writer
143,438,Director
143,439,Novel
143,440,Screenplay
143,441,Director of Photography
143,442,Editor
144,443,Director
144,444,Author
145,70,Director
145,72,Director of Photography
145,445,Casting
146,262,Original Music Composer
146,434,Director
146,435,Producer
146,446,Director of Photography
147,447,Producer
147,448,Original Music Composer
148,93,Director
148,94,Executive Producer
148,95,Executive Producer
149,145,Author
150,347,Producer
150,348,Producer
150,449,Director
150,450,Author
150,451,Author
150,452,Original Music Composer
152,65,Editor
152,453,Producer
152,454,Director of Photography
152,455,Original Music Composer
153,134,Director
153,456,Producer
153,457,Thanks
153,458,Thanks
153,459,Thanks
153,460,Thanks
153,461,Thanks
153,462,Thanks
153,463,Thanks
153,464,Associate Producer
153,465,Producer
154,452,Original Music Composer
