id,imdb_id,title,budget,genre,original_language,overview,popularity,release_date,revenue,runtime,vote_average,vote_count
33,tt0105695,Unforgiven,14000000.0,37.0,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",10.942149,07/08/1992,159157447.0,131,7.7,1133
35,tt0462538,The Simpsons Movie,75000000.0,16.0,en,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",14.302911,25/07/2007,527068851.0,87,6.9,2335
38,tt0338013,Eternal Sunshine of the Spotless Mind,20000000.0,878.0,en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",12.906327,19/03/2004,72258126.0,108,7.9,3758
55,tt0245712,Amores perros,2000000.0,18.0,es,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,5.958138,16/06/2000,20908467.0,154,7.6,537
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,200000000.0,12.0,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",29.455314,20/06/2006,1065659812.0,151,7.0,5380
59,tt0399146,A History of Violence,32000000.0,18.0,en,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,11.119707,23/09/2005,60740827.0,96,6.9,850
62,tt0062622,2001: A Space Odyssey,10500000.0,878.0,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,10/04/1968,68700000.0,149,7.9,3075
63,tt0114746,Twelve Monkeys,29500000.0,878.0,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,29/12/1995,168840000.0,129,7.4,2470
64,tt0287467,Talk to Her,9285469.0,18.0,es,Two men share an odd friendship while they care for two women who are both in deep comas.,6.648278,14/03/2002,51001550.0,112,7.5,273
65,tt0298203,8 Mile,41000000.0,18.0,en,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",8.374355,08/11/2002,215000000.0,110,6.8,1676
66,tt0118548,Absolute Power,50000000.0,80.0,en,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,14/02/1997,50068310.0,121,6.4,226
67,tt0445620,Paradise Now,,53.0,en,Paradise Now is filmed from the perspective of two Palestinian men who are preparing to perform a suicide attack in Israel. This is the first film to deal with the subject of suicide bombers.,3.714186,14/02/2005,3357075.0,90,6.9,63
68,tt0088846,Brazil,15000000.0,35.0,en,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",9.837287,20/02/1985,,132,7.6,877
69,tt0358273,Walk the Line,28000000.0,18.0,en,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",11.476443,13/09/2005,186438883.0,136,7.3,732
70,tt0405159,Million Dollar Baby,30000000.0,18.0,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",14.471373,15/12/2004,216763646.0,132,7.7,2519
71,tt0249462,Billy Elliot,5000000.0,18.0,en,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",12.158424,18/05/2000,110000000.0,110,7.4,774
73,tt0120586,American History X,20000000.0,18.0,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",18.157166,30/10/1998,23875127.0,119,8.2,3120
74,tt0407304,War of the Worlds,132000000.0,12.0,en,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",19.929377,28/06/2005,591739379.0,116,6.2,2397
75,tt0116996,Mars Attacks!,70000000.0,35.0,en,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien",15.63424,12/12/1996,101371017.0,106,6.1,1544
76,tt0112471,Before Sunrise,2500000.0,18.0,en,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,27/01/1995,5535405.0,105,7.7,984
77,tt0209144,Memento,9000000.0,9648.0,en,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789,11/10/2000,39723096.0,113,8.1,4168
78,tt0083658,Blade Runner,28000000.0,878.0,en,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,25/06/1982,33139618.0,117,7.9,3833
79,tt0299977,Hero,31000000.0,18.0,zh,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,9.861765,19/12/2002,177394432.0,99,7.3,647
80,tt0381681,Before Sunset,2700000.0,18.0,en,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,7.048957,10/02/2004,15992615.0,80,7.6,734
81,tt0087544,Nausica,1000000.0,12.0,ja,"After a global war, the seaside kingdom known as the Valley Of The Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaa, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",11.267366,11/03/1984,3301446.0,117,7.7,808
82,tt0430357,Miami Vice,135000000.0,28.0,en,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,11.72545,27/07/2006,163794509.0,134,5.7,494
83,tt0374102,Open Water,130000.0,18.0,en,Two divers are left out at sea without a boat. There,10.652818,06/08/2004,54667954.0,79,5.3,320
85,tt0082971,Raiders of the Lost Ark,18000000.0,12.0,en,When Dr. Indiana Jones  the tweed-suited professor who just happens to be a celebrated archaeologist ,19.901576,12/06/1981,389925971.0,115,7.7,3949
86,tt0430051,The Elementary Particles,6000000.0,18.0,de,"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.",11.552537,10/02/2006,,105,6.4,34
87,tt0087469,Indiana Jones and the Temple of Doom,28000000.0,12.0,en,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees ",15.802306,23/05/1984,333000000.0,118,7.1,2841
88,tt0092890,Dirty Dancing,6000000.0,18.0,en,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer ",14.044122,21/08/1987,213954274.0,100,7.1,1371
89,tt0097576,Indiana Jones and the Last Crusade,48000000.0,12.0,en,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",14.788987,24/05/1989,474171806.0,127,7.6,3221
90,tt0086960,Beverly Hills Cop,15000000.0,28.0,en,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",8.503483,29/11/1984,316360478.0,105,6.8,985
91,tt0023037,Land Without Bread,20000.0,99.0,es,Las Hurdes  Tierra Sin Pan / Land Without Bread / Unpromised Land is a surrealist documentary filmed in Spain in 1932. It is the result of a two month trip through the Las Hurdes region. The,2.475972,01/12/1933,,29,6.5,21
92,tt0169024,Megacities,,99.0,en,Megacities is a documentary about the slums of five different metropolitan cities.,0.406137,12/08/1998,,94,7.0,3
93,tt0052561,Anatomy of a Murder,,80.0,en,"The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife.",9.473772,01/07/1959,,160,7.7,207
95,tt0120591,Armageddon,140000000.0,28.0,en,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",13.235112,01/07/1998,553799566.0,151,6.5,2540
96,tt0092644,Beverly Hills Cop II,20000000.0,28.0,en,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin ",9.200336,18/05/1987,299965036.0,100,6.1,627
97,tt0084827,Tron,17000000.0,878.0,en,"As Kevin Flynn searches for proof that he invented a hit video game, he is ""digitalized"" by a laser and finds himself inside The Grid, where programs suffer under the tyrannical rule of the Master Control Program. With the help of TRON, a security program, Flynn seeks to free The Grid from the MCP.",16.574021,09/07/1982,33000000.0,96,6.6,717
98,tt0172495,Gladiator,103000000.0,28.0,en,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",23.186667,01/05/2000,457640427.0,155,7.9,5566
99,tt0185125,All About My Mother,8272296.0,35.0,es,"A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.",10.000915,19/04/1999,67872296.0,101,7.4,337
100,tt0120735,"Lock, Stock and Two Smoking Barrels",1350000.0,35.0,en,A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,4.60786,05/03/1998,3897569.0,105,7.5,1671
